,Sector,Start,End,Total Return,CAGR,Ann Vol,Sharpe (rf=3%),Max Drawdown
AAPL,Technology,1999-01-04,2024-12-30,810.7630630482772,0.29405929587575974,0.40995345476678463,0.5565854198526422,-0.8180144938711639
ADBE,Technology,1999-01-04,2024-12-30,71.09165077028246,0.17893806676739232,0.4287508877126885,0.31454907596555515,-0.7988732767615736
SBUX,Consumer Discretionary,1999-01-04,2024-12-30,34.08912188841902,0.1467213177212363,0.34984794426710547,0.30617307105965574,-0.8190764686256218
UNP,Industrials,1999-01-04,2024-12-30,32.47911479184464,0.1446506395197933,0.28091720166785344,0.3748574796218413,-0.5943644801605692
CAT,Industrials,1999-01-04,2024-12-30,28.864689778774025,0.13962966208035965,0.32483558191955175,0.31062219465874846,-0.7342866581853698
ORCL,Technology,1999-01-04,2024-12-30,27.766068828495246,0.13798723425087034,0.3930587878995335,0.2530326965372504,-0.8419433396581145
LOW,Consumer Discretionary,1999-01-04,2024-12-30,26.220899686828535,0.13557211820249426,0.32743104066319967,0.2972503300842618,-0.6059294747958671
LMT,Industrials,1999-01-04,2024-12-30,22.068723914064524,0.12836300009040835,0.26025250418426776,0.34947085225499547,-0.6161794570606642
NEE,Utilities,1999-01-04,2024-12-30,20.620286990847156,0.12555096591647574,0.23736619982280718,0.37263789821080645,-0.47812297372350354
MSFT,Technology,1999-01-04,2024-12-30,18.585075224184816,0.12127719504137091,0.3053822130002568,0.27716614252851873,-0.6938621738418449
NKE,Consumer Discretionary,1999-01-04,2024-12-30,18.09060702547864,0.12017442267376222,0.3157343904243074,0.264957327677215,-0.5929947500521855
LLY,Healthcare,1999-01-04,2024-12-30,17.18157082130368,0.11807343701212614,0.27918107937017295,0.29291365486144777,-0.6826196487730235
HD,Consumer Discretionary,1999-01-04,2024-12-30,15.702520705961721,0.11442892026134155,0.3049705575525137,0.25742172003327607,-0.7042382863270473
SO,Utilities,1999-01-04,2024-12-30,14.251592683543484,0.11053870545353628,0.20604550430374546,0.3640160811763428,-0.384348674110528
APD,Materials,1999-01-04,2024-12-30,13.593302012747412,0.10865485827366261,0.2862938309067982,0.256042999004789,-0.6029784577188656
AXP,Financials,1999-01-04,2024-12-30,13.204694395374052,0.10750403469833003,0.35667110013042663,0.2026051012522508,-0.8390596269728158
MCD,Consumer Discretionary,1999-01-04,2024-12-30,12.91849948032784,0.10663697297753272,0.2323583218444463,0.30762399574719723,-0.7363115320469857
AMGN,Healthcare,1999-01-04,2024-12-30,12.735761219798414,0.10607433247058373,0.3161530651100234,0.22447883836943444,-0.6016665866518185
TXN,Technology,1999-01-04,2024-12-30,12.678682973474427,0.10589711610948971,0.3824122311494877,0.1851645703198202,-0.8581235373144573
COP,Energy,1999-01-04,2024-12-30,12.443375121313252,0.1051589452308761,0.3311515491636378,0.21180778805949318,-0.7066103564865178
WMT,Consumer Staples,1999-01-04,2024-12-30,9.505130658773702,0.09472061298734191,0.24084718894625326,0.2517618444468367,-0.37497871185093945
JPM,Financials,1999-01-04,2024-12-30,9.484814174235646,0.09463906992607019,0.37289980980497905,0.1624069733309734,-0.7402069662470645
ABT,Healthcare,1999-01-04,2024-12-30,8.916301145843862,0.0922934012501806,0.2465910268454301,0.2368825632579386,-0.45664843739246264
HON,Industrials,1999-01-04,2024-12-30,8.688183138280507,0.09131564387623103,0.3017965298753748,0.19057945020329942,-0.7009064199945698
CVX,Energy,1999-01-04,2024-12-30,8.021233420667281,0.08832452318435591,0.2761354723521949,0.1983354792168738,-0.5577394700858794
MMM,Industrials,1999-01-04,2024-12-30,7.495735551179324,0.08581401380277853,0.2462084643047619,0.21304928116753793,-0.590973213726773
BA,Industrials,1999-01-04,2024-12-30,7.414549455076836,0.08541289615383496,0.35220433328053913,0.14788146397097707,-0.7792005308626503
TGT,Consumer Discretionary,1999-01-04,2024-12-30,7.167633372096546,0.08416967494136518,0.33267544053763387,0.15311232917017917,-0.629605802453655
FDX,Industrials,1999-01-04,2024-12-30,6.902694379476247,0.08279485843543832,0.3229308626475334,0.15379732944660493,-0.713168789046861
SPY,Benchmark,1999-01-04,2024-12-30,6.582309395023548,0.081071856640069,0.1935637353106442,0.24834699926435339,-0.5518944271678049
PG,Consumer Staples,1999-01-04,2024-12-30,6.2686221673162645,0.07931566543031243,0.2152046373842857,0.2158071566494324,-0.5422717224052764
WFC,Financials,1999-01-04,2024-12-30,6.144735615340673,0.07860193037234575,0.3749085587101921,0.12211029926065883,-0.7901341439730609
PEP,Consumer Staples,1999-01-04,2024-12-30,6.069604531196154,0.07816326601105894,0.2049852618340957,0.2213466491378708,-0.40406695285526684
CL,Consumer Staples,1999-01-04,2024-12-30,5.981628808587886,0.07764387256624361,0.22026277048125173,0.20380301373824752,-0.3406093409578268
JNJ,Healthcare,1999-01-04,2024-12-30,5.702120692216913,0.07595091482823468,0.19558902285124516,0.22146243497013926,-0.3588001899328013
XOM,Energy,1999-01-04,2024-12-30,5.514873011899111,0.07477836577306207,0.2633970023742337,0.16030401744478023,-0.6239596380038521
DUK,Utilities,1999-01-04,2024-12-30,5.244954479406856,0.07302980559758665,0.238942415160709,0.16988572672151944,-0.7192052053306905
^GSPC,Benchmark,1999-01-04,2024-12-30,3.8098200951334897,0.062302399003055786,0.19371289065092578,0.15760482956759203,-0.5677538774277291
IBM,Technology,1999-01-04,2024-12-30,3.7635214071923704,0.06190708850076376,0.2667359347228917,0.11306061370582488,-0.5935920755696322
KO,Consumer Staples,1999-01-04,2024-12-30,2.7516502777876513,0.05219430114708423,0.210240597258801,0.09967050283442336,-0.4421743352050286
CSCO,Technology,1999-01-04,2024-12-30,2.7225822624943374,0.05187942163164472,0.3664458426510322,0.056365842011123095,-0.892583842641096
